cve_id,published,last_modified,source_identifier,description,severity,cvss_score,vector,exploitability_score,impact_score
CVE-1999-1581,1997-12-23T05:00:00.000,2024-11-20T23:31:27.620,cve@mitre.org,memory leak in simple network management protocol (snmp) agent (snmp.exe) for windows nt 4.0 before service pack 4 allows remote attackers to cause a denial of service (memory consumption) via a large number of snmp packets with object identifiers (oids) that cannot be decoded.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0012,1998-02-06T05:00:00.000,2024-11-20T23:27:36.403,cve@mitre.org,some web servers under microsoft windows allow remote attackers to bypass access restrictions for files with long file names.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,10.0,2.9
CVE-1999-0225,1998-02-14T05:00:00.000,2024-11-20T23:28:10.670,cve@mitre.org,windows nt 4.0 allows remote attackers to cause a denial of service via a malformed smb logon request in which the actual data size does not match the specified size.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-1361,1998-05-09T04:00:00.000,2024-11-20T23:30:55.950,cve@mitre.org,"windows nt 3.51 and 4.0 running wins (windows internet name service) allows remote attackers to cause a denial of service (resource exhaustion) via a flood of malformed packets, which causes the server to slow down and fill the event logs with error messages.",MEDIUM,6.4,AV:N/AC:L/Au:N/C:N/I:P/A:P,10.0,4.9
CVE-1999-1297,1998-07-15T04:00:00.000,2024-11-20T23:30:46.810,cve@mitre.org,cmdtool in openwindows 3.0 and xview 3.0 in sunos 4.1.4 and earlier allows attackers with physical access to the system to display unechoed characters (such as those from password prompts) via the l2/again key.,LOW,2.1,AV:L/AC:L/Au:N/C:P/I:N/A:N,3.9,2.9
CVE-1999-0288,1998-08-01T04:00:00.000,2024-11-20T23:28:20.087,cve@mitre.org,"the wins server in microsoft windows nt 4.0 before sp4 allows remote attackers to cause a denial of service (process termination) via invalid udp frames to port 137 (netbios name service), as demonstrated via a flood of random packets.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0158,1998-08-31T04:00:00.000,2024-11-20T23:28:00.437,cve@mitre.org,cisco pix firewall manager (pfm) on windows nt allows attackers to connect to port 8080 on the pfm server and retrieve any file whose name and location is known.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,10.0,2.9
CVE-1999-0969,1998-09-29T04:00:00.000,2024-11-20T23:29:58.027,cve@mitre.org,"the windows nt rpc service allows remote attackers to conduct a denial of service using spoofed malformed rpc packets which generate an error message that is sent to the spoofed host, potentially setting up a loop, aka snork.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0505,1998-10-01T04:00:00.000,2024-11-20T23:28:53.780,cve@mitre.org,a windows nt domain user or administrator account has a guessable password.,HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0506,1998-10-01T04:00:00.000,2024-11-20T23:28:54.113,cve@mitre.org,"a windows nt domain user or administrator account has a default, null, blank, or missing password.",HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0546,1998-10-01T04:00:00.000,2024-11-20T23:28:58.770,cve@mitre.org,the windows nt guest account is enabled.,MEDIUM,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4
CVE-1999-1291,1998-10-05T04:00:00.000,2024-11-20T23:30:45.927,cve@mitre.org,"tcp/ip implementation in microsoft windows 95, windows nt 4.0, and possibly others, allows remote attackers to reset connections by forcing a reset (rst) via a psh ack or other means, obtaining the target's last sequence number from the resulting packet, then spoofing a reset to the target.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-1289,1998-11-11T05:00:00.000,2024-11-20T23:30:45.640,cve@mitre.org,"icq 98 beta on windows nt leaks the internal ip address of a client in the tcp data segment of an icq packet instead of the public address (e.g. through nat), which provides remote attackers with potentially sensitive information about the client or the internal network configuration.",HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-0200,1999-01-01T05:00:00.000,2024-11-20T23:28:06.937,cve@mitre.org,windows nt ftp server (wftp) with the guest account enabled without a password allows an attacker to log into the ftp server using any username and password.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0226,1999-01-01T05:00:00.000,2024-11-20T23:28:10.847,cve@mitre.org,"windows nt tcp/ip processes fragmented ip packets improperly, causing a denial of service.",HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0285,1999-01-01T05:00:00.000,2024-11-20T23:28:19.670,cve@mitre.org,"denial of service in telnet from the windows nt resource kit, by opening then immediately closing a connection.",HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0549,1999-01-01T05:00:00.000,2024-11-20T23:28:59.193,cve@mitre.org,windows nt automatically logs in an administrator upon rebooting.,HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0560,1999-01-01T05:00:00.000,2024-11-20T23:29:00.183,cve@mitre.org,a system-critical windows nt file or directory has inappropriate permissions.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0570,1999-01-01T05:00:00.000,2024-11-20T23:29:01.297,cve@mitre.org,"windows nt is not using a password filter utility, e.g. passfilt.dll.",HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0577,1999-01-01T05:00:00.000,2024-11-20T23:29:01.957,cve@mitre.org,a windows nt system's file audit policy does not log an event success or failure for non-critical files or directories.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0578,1999-01-01T05:00:00.000,2024-11-20T23:29:02.090,cve@mitre.org,a windows nt system's registry audit policy does not log an event success or failure for security-critical registry keys.,MEDIUM,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4
CVE-1999-0579,1999-01-01T05:00:00.000,2024-11-20T23:29:02.213,cve@mitre.org,a windows nt system's registry audit policy does not log an event success or failure for non-critical registry keys.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0580,1999-01-01T05:00:00.000,2024-11-20T23:29:02.347,cve@mitre.org,"the hkey_local_machine key in a windows nt system has inappropriate, system-critical permissions.",HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0581,1999-01-01T05:00:00.000,2024-11-20T23:29:02.477,cve@mitre.org,"the hkey_classes_root key in a windows nt system has inappropriate, system-critical permissions.",HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0583,1999-01-01T05:00:00.000,2024-11-20T23:29:02.760,cve@mitre.org,there is a one-way or two-way trust relationship between windows nt domains.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0584,1999-01-01T05:00:00.000,2024-11-20T23:29:02.897,cve@mitre.org,a windows nt file system is not ntfs.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0589,1999-01-01T05:00:00.000,2024-11-20T23:29:03.547,cve@mitre.org,a system-critical windows nt registry key has inappropriate permissions.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0591,1999-01-01T05:00:00.000,2024-11-20T23:29:03.813,cve@mitre.org,an event log in windows nt has inappropriate access permissions.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0592,1999-01-01T05:00:00.000,2024-11-20T23:29:03.950,cve@mitre.org,the logon box of a windows nt system displays the name of the last user who logged in.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0593,1999-01-01T05:00:00.000,2024-11-20T23:29:04.080,cve@mitre.org,the default setting for the winlogon key entry shutdownwithoutlogon in windows nt allows users with physical access to shut down a windows nt system without logging in.,MEDIUM,4.9,AV:L/AC:L/Au:N/C:N/I:N/A:C,3.9,6.9
CVE-1999-0594,1999-01-01T05:00:00.000,2024-11-20T23:29:04.257,cve@mitre.org,a windows nt system does not restrict access to removable media drives such as a floppy disk drive or cdrom drive.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0596,1999-01-01T05:00:00.000,2024-11-20T23:29:04.583,cve@mitre.org,a windows nt log file has an inappropriate maximum size or retention period.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0597,1999-01-01T05:00:00.000,2024-11-20T23:29:04.743,cve@mitre.org,a windows nt account policy does not forcibly disconnect remote users from the server when their logon hours expire.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0603,1999-01-01T05:00:00.000,2024-11-20T23:29:05.587,cve@mitre.org,"in windows nt, an inappropriate user is a member of a group, e.g. administrator, backup operators, domain admins, domain guests, power users, print operators, replicators, system operators, etc.",HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0611,1999-01-01T05:00:00.000,2024-11-20T23:29:06.710,cve@mitre.org,a system-critical windows nt registry key has an inappropriate value.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0664,1999-01-01T05:00:00.000,2024-11-20T23:29:10.917,cve@mitre.org,an application-critical windows nt registry key has inappropriate permissions.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0665,1999-01-01T05:00:00.000,2024-11-20T23:29:11.047,cve@mitre.org,an application-critical windows nt registry key has an inappropriate value.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0391,1999-01-05T05:00:00.000,2024-11-20T23:28:37.747,cve@mitre.org,"the cryptographic challenge of smb authentication in windows 95 and windows 98 can be reused, allowing an attacker to replay the response and impersonate a user.",HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-0119,1999-01-19T05:00:00.000,2024-11-20T23:27:54.230,cve@mitre.org,windows nt 4.0 beta allows users to read and delete shares.,HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0357,1999-01-25T05:00:00.000,2024-11-20T23:28:32.420,cve@mitre.org,"windows 98 and other operating systems allows remote attackers to cause a denial of service via crafted ""oshare"" packets, possibly involving invalid fragmentation offsets.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-1201,1999-02-06T05:00:00.000,2024-11-20T23:30:33.347,cve@mitre.org,"windows 95 and windows 98 systems, when configured with multiple tcp/ip stacks bound to the same mac address, allow remote attackers to cause a denial of service (traffic amplification) via a certain icmp echo (ping) packet, which causes all stacks to send a ping response, aka tcp chorusing.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0366,1999-02-08T05:00:00.000,2024-11-20T23:28:34.063,cve@mitre.org,"in some cases, service pack 4 for windows nt 4.0 can allow access to network shares using a blank password, through a problem with a null nt hash value.",HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-0404,1999-02-14T05:00:00.000,2024-11-20T23:28:39.577,cve@mitre.org,buffer overflow in the mail-max smtp server for windows systems allows remote command execution.,HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-0376,1999-02-20T05:00:00.000,2024-11-20T23:28:35.537,cve@mitre.org,local users in windows nt can obtain administrator privileges by changing the knowndlls list to reference malicious programs.,MEDIUM,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4
CVE-1999-0386,1999-03-01T05:00:00.000,2024-11-20T23:28:37.000,cve@mitre.org,microsoft personal web server and frontpage personal web server in some windows systems allows a remote attacker to read files on the server by using a nonstandard url.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,10.0,2.9
CVE-1999-1254,1999-03-08T05:00:00.000,2024-11-20T23:30:40.697,cve@mitre.org,"windows 95, 98, and nt 4.0 allow remote attackers to cause a denial of service by spoofing icmp redirect messages from a router, which causes windows to change its routing tables.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0382,1999-03-12T05:00:00.000,2024-11-20T23:28:36.423,cve@mitre.org,"the screen saver in windows nt does not verify that its security context has been changed properly, allowing attackers to run programs with elevated privileges.",HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0444,1999-04-12T04:00:00.000,2024-11-20T23:28:45.180,cve@mitre.org,"remote attackers can perform a denial of service in windows machines using malicious arp packets, forcing a message box display for each packet or filling up log files.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0229,1999-05-12T04:00:00.000,2024-11-20T23:28:11.307,cve@mitre.org,denial of service in windows nt iis server using ..\..,MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0716,1999-05-17T04:00:00.000,2024-11-20T23:29:18.130,cve@mitre.org,buffer overflow in windows nt 4.0 help file utility via a malformed help file.,MEDIUM,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4
CVE-1999-0755,1999-05-27T04:00:00.000,2024-11-20T23:29:23.713,cve@mitre.org,"windows nt rras and ras clients cache a user's password even if the user has not selected the ""save password"" option.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,10.0,2.9
CVE-1999-0723,1999-06-23T04:00:00.000,2024-11-20T23:29:19.117,cve@mitre.org,the windows nt client server runtime subsystem (csrss) can be subjected to a denial of service when all worker threads are waiting for user input.,HIGH,7.1,AV:N/AC:M/Au:N/C:N/I:N/A:C,8.6,6.9
CVE-1999-1365,1999-06-28T04:00:00.000,2024-11-20T23:30:56.497,cve@mitre.org,"windows nt searches a user's home directory (%systemroot% by default) before other directories to find critical programs such as nddeagnt.exe, explorer.exe, userinit.exe or taskmgr.exe, which could allow local users to bypass access restrictions or gain privileges by placing a trojan horse program into the root directory, which is writable by default.",HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0726,1999-06-30T04:00:00.000,2024-11-20T23:29:19.550,cve@mitre.org,an attacker can conduct a denial of service in windows nt by executing a program with a malformed file image header.,HIGH,7.8,AV:N/AC:L/Au:N/C:N/I:N/A:C,10.0,6.9
CVE-1999-0918,1999-07-03T04:00:00.000,2024-11-20T23:29:50.827,cve@mitre.org,"denial of service in various windows systems via malformed, fragmented igmp packets.",HIGH,7.8,AV:N/AC:L/Au:N/C:N/I:N/A:C,10.0,6.9
CVE-1999-0728,1999-07-06T04:00:00.000,2024-11-20T23:29:19.890,cve@mitre.org,a windows nt user can disable the keyboard or mouse by directly calling the ioctls which control them.,HIGH,7.8,AV:N/AC:L/Au:N/C:N/I:N/A:C,10.0,6.9
CVE-1999-0721,1999-07-20T04:00:00.000,2024-11-20T23:29:18.840,cve@mitre.org,denial of service in windows nt local security authority (lsa) through a malformed lsa request.,HIGH,7.8,AV:N/AC:L/Au:N/C:N/I:N/A:C,10.0,6.9
CVE-1999-0224,1999-07-23T04:00:00.000,2024-11-20T23:28:10.527,cve@mitre.org,denial of service in windows nt messenger service through a long username.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,10.0,2.9
CVE-1999-0680,1999-08-09T04:00:00.000,2024-11-20T23:29:13.047,cve@mitre.org,"windows nt terminal server performs extra work when a client opens a new connection but before it is authenticated, allowing for a denial of service.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0749,1999-08-16T04:00:00.000,2024-11-20T23:29:22.907,cve@mitre.org,buffer overflow in microsoft telnet client in windows 95 and windows 98 via a malformed telnet argument.,LOW,2.6,AV:N/AC:H/Au:N/C:N/I:P/A:N,4.9,2.9
CVE-2000-0328,1999-08-24T04:00:00.000,2024-11-20T23:32:14.950,cve@mitre.org,"windows nt 4.0 generates predictable random tcp initial sequence numbers (isn), which allows remote attackers to perform spoofing and session hijacking.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,10.0,2.9
CVE-1999-1356,1999-09-02T04:00:00.000,2024-11-20T23:30:55.263,cve@mitre.org,"compaq integration maintenance utility as used in compaq insight manager agent before smartstart 4.50 modifies the legal notice caption (legalnoticecaption) and text (legalnoticetext) in windows nt, which could produce a legal notice that is in violation of the security policy.",MEDIUM,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4
CVE-1999-0886,1999-09-17T04:00:00.000,2024-11-20T23:29:46.317,cve@mitre.org,the security descriptor for rasman allows users to point to an alternate location via the windows nt service control manager.,HIGH,9.0,AV:N/AC:L/Au:S/C:C/I:C/A:C,8.0,10.0
CVE-1999-0909,1999-09-20T04:00:00.000,2024-11-20T23:29:49.553,cve@mitre.org,"multihomed windows systems allow a remote attacker to bypass ip source routing restrictions via a malformed packet with ip options, aka the ""spoofed route pointer"" vulnerability.",HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-1454,1999-10-04T04:00:00.000,2024-11-20T23:31:09.350,cve@mitre.org,"macromedia ""the matrix"" screen saver on windows 95 with the ""password protected"" option enabled allows attackers with physical access to the machine to bypass the password prompt by pressing the esc (escape) key.",MEDIUM,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4
CVE-1999-1234,1999-10-26T04:00:00.000,2024-11-20T23:30:38.020,cve@mitre.org,"lsa (lsass.exe) in windows nt 4.0 allows remote attackers to cause a denial of service via a null policy handle in a call to (1) samropendomain, (2) samrenumdomainusers, and (3) samrquerydomaininfo.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-1531,1999-11-02T05:00:00.000,2024-11-20T23:31:20.350,cve@mitre.org,buffer overflow in ibm homepageprint 1.0.7 for windows98j allows a malicious web site to execute arbitrary code on a viewer's system via a long img_src html tag.,HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-0898,1999-11-04T05:00:00.000,2024-11-20T23:29:48.007,cve@mitre.org,buffer overflows in windows nt 4.0 print spooler allow remote attackers to gain privileges or cause a denial of service via a malformed spooler request.,HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0899,1999-11-04T05:00:00.000,2024-11-20T23:29:48.153,cve@mitre.org,the windows nt 4.0 print spooler allows a local user to execute arbitrary commands due to inappropriate permissions that allow the user to specify an alternate print provider.,HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-1065,1999-11-04T05:00:00.000,2024-11-20T23:30:12.450,cve@mitre.org,"palm pilot hotsync manager 3.0.4 in windows 98 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long string to port 14238 while the manager is in network mode.",HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-2000-0330,1999-11-12T05:00:00.000,2024-11-20T23:32:15.283,cve@mitre.org,"the networking software in windows 95 and windows 98 allows remote attackers to execute commands via a long file name string, aka the ""file access url"" vulnerability.",HIGH,7.6,AV:N/AC:H/Au:N/C:C/I:C/A:C,4.9,10.0
